sample_id,source_hessian_file,sample_key,method_id,method_display_name,category,level_of_theory,atom_count,formula,mapped_nonisomeric_smiles,charge,spin,energy,hessian_shape,hessian_4d_shape,reference_hessian_shape,file_size_bytes,sha256,path,original_path
0,hessian_0.h5,0001501ab3b953a8867580f1af25aa7f,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,35,C14H18O3,[H:1][C:2]([C:3]1([O:6][H:9])[C:7]2([H:12])[C:10]([H:13])([H:14])[C:11]2([H:16])[C:15]2([H:17])[C:8]1([H:32])[C:29]([H:30])([H:31])[C:24]1=[C:27]([C:28]([H:33])([H:34])[H:35])[C:25](=[O:26])[O:23][C:20]1([H:22])[C:18]2([H:19])[H:21])([H:4])[H:5],0,0,-769.99579834729,105x105,,105x105,191576,635c9a0365121df992cb609c00caf50fd0e4f87417693e9675e2b02bbbc44a35,hessians/semiempirical/g_xtb/hessian_0_sample_00000.h5,results/hessians/gxtb/hessian_0_sample_0_gxtb.h5
2,hessian_0.h5,000301aa620a5234893f44c40cb693e4,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,45,C23H22,[C:1]([c:2]1[c:3]([H:6])[c:5]2[c:7]([c:9]([H:11])[c:4]1[C:12]([H:43])([H:44])[H:45])[C:10]([c:13]1[c:16]([H:19])[c:18]([H:21])[c:20]([H:23])[c:22]([H:24])[c:17]1[H:25])([c:14]1[c:26]([H:29])[c:28]([H:31])[c:30]([H:33])[c:32]([H:34])[c:27]1[H:35])[C:15]([H:36])([H:37])[C:8]2([H:38])[H:39])([H:40])([H:41])[H:42],0,0,-889.66397613017,135x135,,135x135,308096,1ada10291364f40e7b62c556509d27b283907463295c4c13934f89629f6d16ca,hessians/semiempirical/g_xtb/hessian_0_sample_00002.h5,results/hessians/gxtb/hessian_0_sample_2_gxtb.h5
11,hessian_0.h5,000a87a04e015bbba8711c2502c9e1a0,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,28,C11H13NO3,[H:1][C:2]([O:3][C:6](=[O:7])[C:8]1([H:9])[C:10]([H:12])([H:13])[N:14]([C:15]([H:26])([H:27])[H:28])[c:16]2[c:17]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:18]2[O:11]1)([H:4])[H:5],0,0,-707.43054833313,84x84,,84x84,127904,21f4a8e57e98143af7877ba255e4387d0a7ad25090cab04451877cc06e044cab,hessians/semiempirical/g_xtb/hessian_0_sample_00011.h5,results/hessians/gxtb/hessian_0_sample_11_gxtb.h5
12,hessian_0.h5,000c3b6bdc0155b4823db844e4a5f1ad,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,28,C13H12N2O,[N:1]([C:2]([c:5]1[c:8]([H:10])[c:11]2[c:12]([o:9]1)[c:14]([C:15]([H:26])([H:27])[H:28])[n:16][c:17]1[c:13]2[c:24]([H:25])[c:22]([H:23])[c:20]([H:21])[c:18]1[H:19])([H:6])[H:7])([H:3])[H:4],0,0,-687.3427888708,84x84,,84x84,127904,79fb9da7c9a8604e6401d7fea8d2ba515ca9f4273d1a24dca9be71d879326f0a,hessians/semiempirical/g_xtb/hessian_0_sample_00012.h5,results/hessians/gxtb/hessian_0_sample_12_gxtb.h5
16,hessian_0.h5,000fd7eca6e55443802738cca9447985,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,25,C10H11ClFNO,[C:1]([N:2]([C:3](=[O:5])[C:6]([c:7]1[c:10]([H:12])[c:13]([H:14])[c:15]([F:16])[c:17]([Cl:18])[c:11]1[H:19])([H:8])[H:9])[C:4]([H:23])([H:24])[H:25])([H:20])([H:21])[H:22],0,0,-1077.71888731136,75x75,,75x75,104336,d2dc95e2a90e5e26ed91bfcee70bf336a5c8af6a9a32dba89af2a45adf628ece,hessians/semiempirical/g_xtb/hessian_0_sample_00016.h5,results/hessians/gxtb/hessian_0_sample_16_gxtb.h5
19,hessian_0.h5,0013dfcee51059e7bbb6105555f70186,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,42,C15H22N4O,[C:1]([C:2](=[C:3]([C:4](=[O:5])[N:6]1[C:7]([H:26])([H:27])[C:8]([H:28])([H:29])[N:9]([c:10]2[n:11][c:12]([C:13]([H:30])([H:31])[H:32])[n:14][c:15]([C:16]([H:33])([H:34])[H:35])[c:17]2[C:18]([H:36])([H:37])[H:38])[C:19]([H:39])([H:40])[C:20]1([H:41])[H:42])[H:25])[H:24])([H:21])([H:22])[H:23],0,0,-879.06166025597,126x126,,126x126,270368,ed591f1ab3b7e1a766f957313738953b86d7e300c1c3986505dd4ac75260bfe0,hessians/semiempirical/g_xtb/hessian_0_sample_00019.h5,results/hessians/gxtb/hessian_0_sample_19_gxtb.h5
25,hessian_0.h5,001be61866c65885aa4f0af4ec1bb4bd,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,26,C11H13NO,[C:1](=[C:2]([C:5](=[O:7])[N:8]([C:9]([H:11])([H:12])[H:13])[c:10]1[c:14]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]([H:22])[c:15]1[C:23]([H:24])([H:25])[H:26])[H:6])([H:3])[H:4],0,0,-556.94431442895,78x78,,78x78,111680,80e4b7e7541d9bf84e3b10bd2fb3ca1334fe262fa75d0a616bc81bb2e1cdadbc,hessians/semiempirical/g_xtb/hessian_0_sample_00025.h5,results/hessians/gxtb/hessian_0_sample_25_gxtb.h5
26,hessian_0.h5,001c62a118f7533b8c59b976f9c7d3d2,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,20,C6H8N6,[C:1]([c:2]1[n:3][c:4]([N:5]([H:16])[H:17])[n:6][c:7]2[n:8][n:9][n:10]([C:11]([H:18])([H:19])[H:20])[c:12]12)([H:13])([H:14])[H:15],0,0,-561.9736518319,60x60,,60x60,71936,50d9af49f81bf7573958790e37ea9adc77644905ecbc7aaac1c24a0f19309f50,hessians/semiempirical/g_xtb/hessian_0_sample_00026.h5,results/hessians/gxtb/hessian_0_sample_26_gxtb.h5
27,hessian_0.h5,001d1c065d31514eba015eb557376d4b,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,30,C9H15N3O2Si,[C:1]([C:2](=[O:3])[c:4]1[n:5][c:6]([O:11][Si:12]([C:13]([H:22])([H:23])[H:24])([C:14]([H:25])([H:26])[H:27])[C:15]([H:28])([H:29])[H:30])[n:7][c:8]([H:19])[c:9]1[N:10]([H:20])[H:21])([H:16])([H:17])[H:18],0,0,-956.29213264558,90x90,,90x90,144656,24b3f0bb8f3be3cd6ce6ff44f3b064d6e315fdac290d815ee5d9045e28fcdaba,hessians/semiempirical/g_xtb/hessian_0_sample_00027.h5,results/hessians/gxtb/hessian_0_sample_27_gxtb.h5
29,hessian_0.h5,002124d934285e469369dde8b01bf6e5,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,44,C12H26ClOPSSi2,[C:1]([C:2](=[C:3]=[C:4]([O:5][C:6]([H:23])([H:24])[H:25])[P:7](=[S:8])([C:9]([Si:10]([C:11]([H:27])([H:28])[H:29])([C:12]([H:30])([H:31])[H:32])[C:13]([H:33])([H:34])[H:35])([Si:14]([C:15]([H:36])([H:37])[H:38])([C:16]([H:39])([H:40])[H:41])[C:17]([H:42])([H:43])[H:44])[H:26])[Cl:18])[H:22])([H:19])([H:20])[H:21],0,0,-2326.87256572297,132x132,,132x132,295232,f4af30f28573585f3576c9f58edaf59849f86779003db50df028e76b2f038d93,hessians/semiempirical/g_xtb/hessian_0_sample_00029.h5,results/hessians/gxtb/hessian_0_sample_29_gxtb.h5
