element,Hessian,HessianRelax,TorsionScan,TorsionScan (unique),TorsionScanRelax,TorsionScanRelax (unique),MBIS
C,37016882(73.8536%),58147021(72.6845%),51473740(73.1005%),29332995(73.5467%),59226366(72.3920%),36383019(72.4889%),36772795(73.8992%)
N,5800250(11.5723%),11766955(14.7088%),8462295(12.0177%),4811522(12.0640%),11061709(13.5207%),7053590(14.0534%),5746390(11.5480%)
O,4733029(9.4430%),6646077(8.3077%),7145702(10.1480%),3791825(9.5073%),7752802(9.4762%),4413332(8.7930%),4708892(9.4631%)
S,717426(1.4314%),1064014(1.3300%),1184008(1.6815%),631170(1.5825%),1336913(1.6341%),776032(1.5462%),704549(1.4159%)
F,669673(1.3361%),889364(1.1117%),988095(1.4032%),560470(1.4053%),1103008(1.3482%),656452(1.3079%),664497(1.3354%)
Cl,510049(1.0176%),750859(0.9386%),683969(0.9713%),409638(1.0271%),800743(0.9787%),511149(1.0184%),508978(1.0228%)
Br,195447(0.3899%),260264(0.3253%),250788(0.3562%),150873(0.3783%),287226(0.3511%),181422(0.3615%),166604(0.3348%)
Si,345578(0.6895%),323436(0.4043%),92182(0.1309%),92182(0.2311%),103533(0.1265%),103533(0.2063%),345802(0.6949%)
B,72740(0.1451%),77350(0.0967%),56092(0.0797%),56092(0.1406%),61369(0.0750%),61369(0.1223%),81297(0.1634%)
P,32904(0.0656%),39472(0.0493%),47838(0.0679%),26299(0.0659%),46343(0.0566%),28203(0.0562%),32984(0.0663%)
I,28009(0.0559%),34404(0.0430%),30331(0.0431%),20404(0.0512%),33364(0.0408%),23066(0.0460%),27991(0.0563%)
