#non-hydrogen atoms,Hessian,HessianRelax,TorsionScan,TorsionScan (unique),TorsionScanRelax,TorsionScanRelax (unique),MBIS
1,33(0.0011%),35(0.0007%),0(0.0000%),0(0.0000%),0(0.0000%),0(0.0000%),35(0.0011%)
2,140(0.0045%),129(0.0027%),6(0.0001%),6(0.0002%),3(0.0001%),3(0.0001%),142(0.0046%)
3,516(0.0166%),492(0.0102%),60(0.0014%),54(0.0022%),20(0.0004%),16(0.0005%),521(0.0169%)
4,1469(0.0473%),1433(0.0298%),657(0.0157%),563(0.0231%),576(0.0117%),519(0.0168%),1494(0.0485%)
5,3631(0.1170%),3646(0.0758%),2750(0.0656%),2192(0.0899%),2543(0.0517%),2177(0.0704%),3670(0.1191%)
6,8576(0.2764%),9007(0.1872%),7560(0.1803%),5777(0.2371%),7065(0.1438%),5795(0.1875%),8626(0.2799%)
7,18644(0.6009%),20663(0.4294%),17585(0.4194%),12807(0.5255%),16789(0.3416%),13144(0.4253%),18711(0.6071%)
8,37042(1.1939%),42070(0.8743%),36461(0.8696%),25908(1.0631%),36379(0.7402%),27850(0.9011%),37139(1.2050%)
9,65175(2.1007%),75718(1.5736%),66515(1.5864%),46375(1.9030%),68884(1.4016%),51441(1.6645%),65264(2.1175%)
10,103924(3.3496%),125655(2.6114%),109643(2.6150%),75397(3.0939%),116950(2.3796%),85403(2.7634%),103967(3.3732%)
11,152788(4.9246%),195508(4.0632%),162309(3.8711%),109946(4.5116%),179831(3.6591%),128622(4.1618%),152744(4.9558%)
12,203802(6.5689%),273509(5.6842%),228387(5.4471%),149731(6.1441%),262287(5.3368%),183272(5.9301%),203467(6.6015%)
13,246872(7.9571%),342320(7.1143%),296529(7.0724%),188869(7.7501%),353548(7.1937%),241356(7.8095%),245892(7.9779%)
14,277241(8.9359%),402374(8.3624%),353639(8.4345%),218238(8.9552%),436679(8.8852%),290052(9.3851%),275450(8.9369%)
15,298746(9.6291%),453171(9.4181%),396806(9.4640%),236043(9.6859%),498780(10.1488%),322618(10.4388%),296067(9.6059%)
16,300673(9.6912%),478210(9.9384%),409811(9.7742%),237034(9.7265%),522685(10.6352%),334013(10.8075%),297800(9.6621%)
17,287338(9.2614%),476100(9.8946%),395002(9.4210%),225576(9.2564%),505941(10.2945%),320451(10.3687%),284724(9.2378%)
18,264991(8.5411%),451190(9.3769%),366664(8.7451%),206400(8.4695%),462367(9.4079%),287406(9.2995%),262740(8.5246%)
19,238480(7.6866%),402844(8.3721%),328546(7.8360%),184200(7.5585%),395666(8.0507%),241389(7.8105%),237026(7.6903%)
20,156201(5.0346%),290927(6.0462%),257288(6.1364%),135119(5.5445%),294759(5.9975%),168560(5.4540%),154072(4.9988%)
21,122012(3.9327%),220182(4.5760%),204391(4.8748%),106430(4.3673%),219233(4.4608%),120892(3.9117%),120548(3.9112%)
22,93006(2.9977%),163001(3.3876%),159773(3.8107%),81415(3.3408%),161018(3.2763%),84636(2.7385%),91895(2.9815%)
