range,HessianRelax_count,HessianRelax_pct,TorsionScanRelax_count,TorsionScanRelax_pct
0 < n <= 5,159,159(0.0033%),79,79(0.0016%)
5 < n <= 10,28070,28070(0.5834%),101725,101725(2.0698%)
10 < n <= 15,88368,88368(1.8365%),583101,583101(11.8645%)
15 < n <= 20,208044,208044(4.3237%),957967,957967(19.4920%)
20 < n <= 25,246674,246674(5.1265%),956420,956420(19.4605%)
25 < n <= 30,211232,211232(4.3899%),733075,733075(14.9160%)
30 < n <= 35,187436,187436(3.8954%),551876,551876(11.2291%)
35 < n <= 40,206578,206578(4.2932%),424070,424070(8.6286%)
40 < n <= 45,291637,291637(6.0610%),282794,282794(5.7541%)
45 < n <= 50,437479,437479(9.0919%),166747,166747(3.3928%)
50 < n <= 55,489699,489699(10.1772%),83560,83560(1.7002%)
55 < n <= 60,494522,494522(10.2774%),39602,39602(0.8058%)
60 < n <= 65,419571,419571(8.7198%),17410,17410(0.3542%)
65 < n <= 70,318025,318025(6.6094%),8092,8092(0.1646%)
70 < n <= 75,230147,230147(4.7830%),3746,3746(0.0762%)
75 < n <= 80,168890,168890(3.5100%),1833,1833(0.0373%)
80 < n <= 85,131410,131410(2.7310%),1053,1053(0.0214%)
85 < n <= 90,107482,107482(2.2338%),616,616(0.0125%)
90 < n <= 95,90927,90927(1.8897%),377,377(0.0077%)
95 < n <= 100,78010,78010(1.6212%),224,224(0.0046%)
100 < n <= 105,66772,66772(1.3877%),136,136(0.0028%)
105 < n <= 110,55823,55823(1.1601%),49,49(0.0010%)
110 < n <= 115,46230,46230(0.9608%),37,37(0.0008%)
115 < n <= 120,38117,38117(0.7922%),36,36(0.0007%)
120 < n <= 125,30276,30276(0.6292%),15,15(0.0003%)
125 < n <= 130,23649,23649(0.4915%),20,20(0.0004%)
130 < n <= 135,19487,19487(0.4050%),4,4(0.0001%)
135 < n <= 140,16199,16199(0.3367%),4,4(0.0001%)
140 < n <= 145,13367,13367(0.2778%),1,1(0.0000%)
145 < n <= 150,11152,11152(0.2318%),4,4(0.0001%)
150 < n <= 155,9455,9455(0.1965%),0,0(0.0000%)
155 < n <= 160,7834,7834(0.1628%),1,1(0.0000%)
160 < n <= 165,6702,6702(0.1393%),1,1(0.0000%)
165 < n <= 170,5668,5668(0.1178%),0,0(0.0000%)
170 < n <= 175,4826,4826(0.1003%),1,1(0.0000%)
175 < n <= 180,4268,4268(0.0887%),1,1(0.0000%)
180 < n <= 185,3487,3487(0.0725%),0,0(0.0000%)
185 < n <= 190,3141,3141(0.0653%),0,0(0.0000%)
190 < n <= 195,2691,2691(0.0559%),0,0(0.0000%)
195 < n <= 200,2382,2382(0.0495%),0,0(0.0000%)
200 < n <= 205,1353,1353(0.0281%),0,0(0.0000%)
205 < n <= 210,604,604(0.0126%),0,0(0.0000%)
210 < n <= 215,491,491(0.0102%),0,0(0.0000%)
215 < n <= 220,441,441(0.0092%),0,0(0.0000%)
220 < n <= 225,369,369(0.0077%),0,0(0.0000%)
225 < n <= 230,302,302(0.0063%),0,0(0.0000%)
230 < n <= 235,309,309(0.0064%),0,0(0.0000%)
235 < n <= 240,252,252(0.0052%),0,0(0.0000%)
240 < n <= 245,201,201(0.0042%),0,0(0.0000%)
245 < n <= 250,211,211(0.0044%),0,0(0.0000%)
250 < n <= 255,180,180(0.0037%),0,0(0.0000%)
255 < n <= 260,176,176(0.0037%),0,0(0.0000%)
260 < n <= 265,133,133(0.0028%),0,0(0.0000%)
265 < n <= 270,127,127(0.0026%),0,0(0.0000%)
270 < n <= 275,125,125(0.0026%),0,0(0.0000%)
275 < n <= 280,122,122(0.0025%),0,0(0.0000%)
280 < n <= 285,107,107(0.0022%),0,0(0.0000%)
285 < n <= 290,103,103(0.0021%),0,0(0.0000%)
290 < n <= 295,91,91(0.0019%),0,0(0.0000%)
295 < n <= 300,102,102(0.0021%),0,0(0.0000%)
300 < n <= 305,37,37(0.0008%),0,0(0.0000%)
at total,4811722,100.000%,4914677,100.000%
