sample,atoms,no_df_energy_hartree,df_energy_hartree,uma_energy_ev,xtb_energy_hartree,gxtb_energy_hartree,orca_energy_hartree,B3LYPD3BJdzvp_energy_kcal_mol,no_df_force_rms_hartree_per_bohr,df_force_rms_hartree_per_bohr,uma_force_rms_ev_per_angstrom,xtb_force_rms_hartree_per_bohr,gxtb_force_rms_hartree_per_bohr,orca_force_rms_hartree_per_bohr,B3LYPD3BJdzvp_force_rms_kcal_mol_per_angstrom,no_df_hessian_rms_hartree_per_bohr2,df_hessian_rms_hartree_per_bohr2,uma_hessian_rms_ev_per_angstrom2,xtb_hessian_rms_hartree_per_bohr2,gxtb_hessian_rms_hartree_per_bohr2,orca_hessian_rms_hartree_per_bohr2,B3LYPD3BJdzvp_hessian_rms_kcal_mol_per_angstrom2,no_df_file,df_file,uma_file,xtb_file,gxtb_file,orca_file
11,28,,,-19250.25497984809,-45.3185257477,-707.43054833313,-707.886643867073,,,,0.19772182495188936,0.004803866023868374,0.004457967088199597,0.003972427579953122,,,,5.258325052105747,0.048815635572434166,0.05873468246482995,0.0540838655879244,124.9804606275921,,,results/hessians/uma/hessian_0_sample_11_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_11_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_11_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_11_orca_wb97m_d4_def2_tzvpd.h5
26,20,-561.977756735708,-561.9779045913481,-15292.206759014685,-34.46756143655,-561.9736518319,,,0.005312170277300769,0.005313363033908243,0.27278230339275733,0.008962156520924233,0.007089466000709912,,,0.06739035040345052,0.06739032412281028,6.544782759687441,0.060550853591299164,0.07440358905315167,,155.37827688495884,results/hessians/no_df/hessian_0_sample_26_pyscf.h5,results/hessians/df/hessian_0_sample_26_pyscf_df.h5,results/hessians/uma/hessian_0_sample_26_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_26_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_26_gxtb.h5,
33,24,-572.7942187419235,-572.7943712655342,-15586.536968365903,-36.60169040687,-572.79374926163,-573.190254614245,,0.007267027923613584,0.0072654665955919915,0.373384589725976,0.006856933973809698,0.007847885893759421,0.007493303237290906,,0.0668728141120291,0.06687109827019805,6.496490777028337,0.06125480416273992,0.07207769186497914,0.06681265574300271,154.37551114372627,results/hessians/no_df/hessian_0_sample_33_pyscf.h5,results/hessians/df/hessian_0_sample_33_pyscf_df.h5,results/hessians/uma/hessian_0_sample_33_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_33_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_33_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_33_orca_wb97m_d4_def2_tzvpd.h5
35,15,-349.8237182962557,-349.8238166619766,-9519.21055258534,-22.06788569164,-349.83002812341,-350.072477400016,,0.007225797693025755,0.007226399631376062,0.3770049325849982,0.006748330772521679,0.009390701212131088,0.007434107827923742,,0.08483942410459963,0.08483926410896495,8.274902836326838,0.07968134794448374,0.09080961882351661,0.08476592642210995,195.28610911163435,results/hessians/no_df/hessian_0_sample_35_pyscf.h5,results/hessians/df/hessian_0_sample_35_pyscf_df.h5,results/hessians/uma/hessian_0_sample_35_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_35_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_35_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_35_orca_wb97m_d4_def2_tzvpd.h5
67,18,-493.3747024122829,-493.3748537005158,-13425.417158721988,-30.84475264485,-493.37610388193,-493.680563600546,,0.0066510272974483154,0.00664959234892096,0.3415115481841032,0.009714810319729351,0.007757258054601019,0.006790311927935476,,0.06775580214529149,0.06775563661880442,6.581370263800117,0.061118839047683955,0.07304913473629729,0.06771068534054832,156.72078723321007,results/hessians/no_df/hessian_0_sample_67_pyscf.h5,results/hessians/df/hessian_0_sample_67_pyscf_df.h5,results/hessians/uma/hessian_0_sample_67_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_67_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_67_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_67_orca_wb97m_d4_def2_tzvpd.h5
220,8,-253.57249882521893,-253.57254395023222,-6900.081842384256,-14.84462153857,-253.58291111681,-253.73707769766,,0.008866578280339783,0.008862877401097612,0.46911265343680636,0.012934667112893448,0.007038615874899608,0.00886498382502014,,0.09795044737411406,0.09795120223068265,9.382865195119361,0.09405793358851847,0.10404851689439303,0.0979805119458888,226.98899637417216,results/hessians/no_df/hessian_0_sample_220_pyscf.h5,results/hessians/df/hessian_0_sample_220_pyscf_df.h5,results/hessians/uma/hessian_0_sample_220_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_220_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_220_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_220_orca_wb97m_d4_def2_tzvpd.h5
316,12,-3013.2146190809117,-3013.2146699404902,-81993.75169101547,-28.46438096715,-3013.21409757427,-3013.612560202308,,0.009784213403159582,0.009781939738767679,0.5029816289859596,0.010485803087299597,0.010363890913537812,0.009967478635590695,,0.10603394617327166,0.10603304646986932,10.245317432112369,0.09673139919132892,0.1130250651690567,0.10535215667166484,244.54149638309983,results/hessians/no_df/hessian_0_sample_316_pyscf.h5,results/hessians/df/hessian_0_sample_316_pyscf_df.h5,results/hessians/uma/hessian_0_sample_316_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_316_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_316_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_316_orca_wb97m_d4_def2_tzvpd.h5
1229,10,-635.0034461317478,-635.0035244606797,-17279.33083369574,-21.64638266244,-635.00551905532,-635.238287218015,,0.006511281982284895,0.006509612111104549,0.3321417982892243,0.00870962620239115,0.006831353526075787,0.006461705484786188,,0.08197859637398848,0.08197564025822582,7.969500006344533,0.07257641189780938,0.08138302497263197,0.08193164764836994,192.0394480815076,results/hessians/no_df/hessian_0_sample_1229_pyscf.h5,results/hessians/df/hessian_0_sample_1229_pyscf_df.h5,results/hessians/uma/hessian_0_sample_1229_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_1229_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_1229_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_1229_orca_wb97m_d4_def2_tzvpd.h5
3860,5,-291.8453606484924,-291.8454039185151,-7941.519418819178,-3.76306604715,-291.84336301572,-291.922951360741,,0.00178019218165463,0.0017817660283315961,0.09101301175868755,0.004424642105281713,0.002471222949985644,0.001800458767655391,,0.054025287452665244,0.05399291589113903,5.281013740795657,0.04595315399499147,0.05065891999077934,0.05430404252536798,124.28483834672731,results/hessians/no_df/hessian_0_sample_3860_pyscf.h5,results/hessians/df/hessian_0_sample_3860_pyscf_df.h5,results/hessians/uma/hessian_0_sample_3860_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_3860_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_3860_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_3860_orca_wb97m_d4_def2_tzvpd.h5
47783,3,-447.7378862301794,-447.73789375321365,-12183.47839656027,-5.5284305833,-447.74941576253,-447.847924796385,,0.008458097309803514,0.008456392712067134,0.24379780397521175,0.017036245986260586,0.010594889641332936,0.008453636526441011,,0.11122203113501616,0.11122395506720022,10.979319526692478,0.10668957595395329,0.11401373488429126,0.11058408631414145,252.1762180835878,results/hessians/no_df/hessian_0_sample_47783_pyscf.h5,results/hessians/df/hessian_0_sample_47783_pyscf_df.h5,results/hessians/uma/hessian_0_sample_47783_uma_s_1p2.h5,results/hessians/xtb_gfn2/hessian_0_sample_47783_xtb_gfn2.h5,results/hessians/gxtb/hessian_0_sample_47783_gxtb.h5,results/hessians/orca_wb97m_d4_def2_tzvpd/hessian_0_sample_47783_orca_wb97m_d4_def2_tzvpd.h5
