sample,atoms,comparison,mode_count,eigenvalue_mae,baseline_negative_eigenvalues,comparison_negative_eigenvalues,negative_eigenvalue_count_delta,first_eigenvector_cosine,first_eigenvector_abs_cosine
0,35,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,99,0.2769339527877665,0,0,0,-0.9705874530483515,0.9705874530483515
4,40,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,114,0.29438047958154245,0,0,0,-0.11471396771212197,0.11471396771212197
9,32,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,90,0.325718011447728,0,0,0,0.8513349056256533,0.8513349056256533
11,28,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,78,0.2991736903851746,0,0,0,0.8229976597627638,0.8229976597627638
16,25,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,69,0.28948566111644886,0,0,0,0.2637039004848632,0.2637039004848632
26,20,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,54,0.3069754247143537,0,0,0,0.7116064803822506,0.7116064803822506
27,30,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,84,0.32027378061429296,0,0,0,-0.9628591691394778,0.9628591691394778
29,44,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,126,0.31739284967803955,0,0,0,0.9779843075944287,0.9779843075944287
31,22,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,60,0.33513943382816697,0,0,0,0.9979548283303173,0.9979548283303173
33,24,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,66,0.30010048783946414,0,0,0,0.9796839679333236,0.9796839679333236
35,15,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,39,0.32597338703236767,0,0,0,0.007504861964544749,0.007504861964544749
37,20,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,54,0.25704069207968566,0,1,1,-0.020761342026217287,0.020761342026217287
38,32,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,90,0.267066593867594,0,0,0,-0.9519483158787061,0.9519483158787061
39,24,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,66,0.2875679231437314,0,0,0,0.17264726466287975,0.17264726466287975
40,34,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,96,0.2753200419500807,0,1,1,-0.03464791495432585,0.03464791495432585
56,15,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,39,0.31296801267178953,0,0,0,-0.005964722973433447,0.005964722973433447
67,18,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,48,0.30628483165495496,0,0,0,0.4490981786885879,0.4490981786885879
77,18,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,48,0.2811861418707781,0,0,0,0.46623715200202676,0.46623715200202676
78,40,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,114,0.2870470951580465,0,0,0,-0.850270100352129,0.850270100352129
81,38,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,108,0.2641515510370742,0,1,1,0.9738613925283661,0.9738613925283661
88,36,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,102,0.25488290017121823,0,0,0,0.8728995122001464,0.8728995122001464
92,16,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,42,0.26447974645374395,0,0,0,0.7171214135178069,0.7171214135178069
160,49,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,141,0.3132322489084482,0,0,0,-0.905610753361958,0.905610753361958
220,8,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,18,0.31306383949160477,0,1,1,-0.9994456757614711,0.9994456757614711
245,14,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,36,0.3352804034857279,0,0,0,0.5920732732020313,0.5920732732020313
294,48,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,138,0.2678731086407721,0,0,0,-0.05338486612426315,0.05338486612426315
316,12,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,30,0.25282379728651616,0,0,0,-0.9921528703288528,0.9921528703288528
318,12,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,30,0.32949695443009985,0,0,0,0.998278711250199,0.998278711250199
1229,10,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,24,0.2501188072055802,0,0,0,0.9991670437190736,0.9991670437190736
2850,8,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,18,0.34931845841019865,0,0,0,-0.999795020698868,0.999795020698868
3155,10,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,24,0.37806851566571104,0,0,0,0.9866570406011331,0.9866570406011331
3860,5,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,9,0.3459076256974632,0,0,0,-0.6478281841221657,0.6478281841221657
5335,7,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,15,0.4843703378047846,0,0,0,0.02049296251361344,0.02049296251361344
5921,6,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,12,0.07561985173574166,0,0,0,-0.9999972053028227,0.9999972053028227
9719,5,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,9,0.20786521828516907,0,0,0,-0.999949945841431,0.999949945841431
47783,3,ωB97M-D4/def2-QZVPPD vs B3LYP-D3BJ/dzvp,3,0.11752300546417223,0,0,0,0.9999999976858029,0.9999999976858029
9,32,ωB97M-D4/def2-QZVPPD vs UMA,90,0.1401530822787626,0,0,0,0.9980775038019859,0.9980775038019859
11,28,ωB97M-D4/def2-QZVPPD vs UMA,78,0.11609037448231974,0,0,0,0.9969283435182973,0.9969283435182973
16,25,ωB97M-D4/def2-QZVPPD vs UMA,69,0.11136859527254836,0,0,0,0.9971764029638805,0.9971764029638805
26,20,ωB97M-D4/def2-QZVPPD vs UMA,54,0.09647348117127347,0,0,0,-0.9992122241607236,0.9992122241607236
27,30,ωB97M-D4/def2-QZVPPD vs UMA,84,0.12134397581186962,0,0,0,-0.9997828286078039,0.9997828286078039
31,22,ωB97M-D4/def2-QZVPPD vs UMA,60,0.15757573544530973,0,0,0,-0.9999296994230121,0.9999296994230121
33,24,ωB97M-D4/def2-QZVPPD vs UMA,66,0.10744776055564643,0,0,0,0.998308436553019,0.998308436553019
35,15,ωB97M-D4/def2-QZVPPD vs UMA,39,0.11436730236394002,0,0,0,0.9999702168577843,0.9999702168577843
37,20,ωB97M-D4/def2-QZVPPD vs UMA,54,0.0883023589809229,0,0,0,0.9998329240731327,0.9998329240731327
38,32,ωB97M-D4/def2-QZVPPD vs UMA,90,0.10365054843799525,0,0,0,0.9998639062392775,0.9998639062392775
39,24,ωB97M-D4/def2-QZVPPD vs UMA,66,0.09579969083224517,0,0,0,0.9993738905556719,0.9993738905556719
40,34,ωB97M-D4/def2-QZVPPD vs UMA,96,0.10033113830873434,0,0,0,0.9994474623567953,0.9994474623567953
56,15,ωB97M-D4/def2-QZVPPD vs UMA,39,0.1370073191866303,0,0,0,-0.9920593678070664,0.9920593678070664
67,18,ωB97M-D4/def2-QZVPPD vs UMA,48,0.11718648156398509,0,0,0,0.9987651321342543,0.9987651321342543
77,18,ωB97M-D4/def2-QZVPPD vs UMA,48,0.08409891117099333,0,0,0,0.9986504104151055,0.9986504104151055
92,16,ωB97M-D4/def2-QZVPPD vs UMA,42,0.05269536287318791,0,0,0,0.9998105471771771,0.9998105471771771
220,8,ωB97M-D4/def2-QZVPPD vs UMA,18,0.1262799060890077,0,0,0,-0.9825727373310316,0.9825727373310316
245,14,ωB97M-D4/def2-QZVPPD vs UMA,36,0.11673024075158625,0,0,0,0.7460959716035596,0.7460959716035596
316,12,ωB97M-D4/def2-QZVPPD vs UMA,30,0.05392148086572728,0,0,0,0.9999196145601449,0.9999196145601449
318,12,ωB97M-D4/def2-QZVPPD vs UMA,30,0.107985339129816,0,0,0,0.9999167141273715,0.9999167141273715
1229,10,ωB97M-D4/def2-QZVPPD vs UMA,24,0.05629670169796234,0,0,0,0.9997280775253132,0.9997280775253132
2850,8,ωB97M-D4/def2-QZVPPD vs UMA,18,0.16233379002621756,0,0,0,-0.9999704027055156,0.9999704027055156
3155,10,ωB97M-D4/def2-QZVPPD vs UMA,24,0.12832708283571367,0,0,0,-0.9995062243517155,0.9995062243517155
3860,5,ωB97M-D4/def2-QZVPPD vs UMA,9,0.06854705822554269,0,0,0,0.9215602780883431,0.9215602780883431
5335,7,ωB97M-D4/def2-QZVPPD vs UMA,15,0.163893780231372,0,0,0,-0.07694813039040356,0.07694813039040356
5921,6,ωB97M-D4/def2-QZVPPD vs UMA,12,0.019626073111715065,0,0,0,0.9999926033837654,0.9999926033837654
9719,5,ωB97M-D4/def2-QZVPPD vs UMA,9,0.06965262696277424,0,0,0,0.9999998171449632,0.9999998171449632
47783,3,ωB97M-D4/def2-QZVPPD vs UMA,3,0.10137736904563437,0,0,0,0.9999998830706338,0.9999998830706338
0,35,ωB97M-D4/def2-QZVPPD vs g-xTB,99,0.7759846181566719,0,0,0,0.8529783532637997,0.8529783532637997
11,28,ωB97M-D4/def2-QZVPPD vs g-xTB,78,0.67553595859258,0,0,0,-0.0887058799745272,0.0887058799745272
16,25,ωB97M-D4/def2-QZVPPD vs g-xTB,69,0.6562622828981705,0,0,0,0.8754261501708879,0.8754261501708879
26,20,ωB97M-D4/def2-QZVPPD vs g-xTB,54,0.763844194009269,0,0,0,-0.9731408301124613,0.9731408301124613
27,30,ωB97M-D4/def2-QZVPPD vs g-xTB,84,0.6340085450179318,0,0,0,-0.9818198559769235,0.9818198559769235
29,44,ωB97M-D4/def2-QZVPPD vs g-xTB,126,0.5649984535035275,0,0,0,0.7814953486472066,0.7814953486472066
31,22,ωB97M-D4/def2-QZVPPD vs g-xTB,60,0.8718777339683741,0,0,0,0.9802516703564592,0.9802516703564592
33,24,ωB97M-D4/def2-QZVPPD vs g-xTB,66,0.6900268084475469,0,0,0,-0.9339008004422146,0.9339008004422146
35,15,ωB97M-D4/def2-QZVPPD vs g-xTB,39,0.6432855665665357,0,0,0,0.9974628621738316,0.9974628621738316
37,20,ωB97M-D4/def2-QZVPPD vs g-xTB,54,0.6631463320544666,0,0,0,-0.9230063946349792,0.9230063946349792
38,32,ωB97M-D4/def2-QZVPPD vs g-xTB,90,0.625667304442883,0,0,0,0.9587663386403635,0.9587663386403635
39,24,ωB97M-D4/def2-QZVPPD vs g-xTB,66,0.5875504800926007,0,0,0,0.002101447872937176,0.002101447872937176
40,34,ωB97M-D4/def2-QZVPPD vs g-xTB,96,0.625244115786341,0,0,0,0.9448354009295321,0.9448354009295321
56,15,ωB97M-D4/def2-QZVPPD vs g-xTB,39,0.7057327691989652,0,0,0,-0.95261059270124,0.95261059270124
67,18,ωB97M-D4/def2-QZVPPD vs g-xTB,48,0.7184349819838443,0,0,0,-0.7766399639018978,0.7766399639018978
77,18,ωB97M-D4/def2-QZVPPD vs g-xTB,48,0.5861928850027626,0,0,0,-0.9500446925148721,0.9500446925148721
78,40,ωB97M-D4/def2-QZVPPD vs g-xTB,114,0.8240089395355212,0,0,0,-0.9317057806387089,0.9317057806387089
81,38,ωB97M-D4/def2-QZVPPD vs g-xTB,108,0.6936369576877355,0,0,0,-0.38072248356411015,0.38072248356411015
88,36,ωB97M-D4/def2-QZVPPD vs g-xTB,102,0.7262435584379761,0,0,0,-0.9597804819420964,0.9597804819420964
92,16,ωB97M-D4/def2-QZVPPD vs g-xTB,42,0.5760823338246791,0,0,0,-0.7752734495061813,0.7752734495061813
160,49,ωB97M-D4/def2-QZVPPD vs g-xTB,141,0.6741290005099909,0,0,0,0.8004664947757933,0.8004664947757933
220,8,ωB97M-D4/def2-QZVPPD vs g-xTB,18,0.5743461302700168,0,0,0,0.5742662853605226,0.5742662853605226
245,14,ωB97M-D4/def2-QZVPPD vs g-xTB,36,0.7936378251430118,0,0,0,-0.07867280277309394,0.07867280277309394
294,48,ωB97M-D4/def2-QZVPPD vs g-xTB,138,0.730004753588269,0,0,0,0.0014605468920321765,0.0014605468920321765
316,12,ωB97M-D4/def2-QZVPPD vs g-xTB,30,0.6140250229218798,0,0,0,0.016817794312608363,0.016817794312608363
318,12,ωB97M-D4/def2-QZVPPD vs g-xTB,30,0.698975193648914,0,0,0,0.0026694714690269233,0.0026694714690269233
